district,current_votes,total_votes,percent
New Jersey’s 4th district,407057,407000,99
New Jersey’s 5th district,395681,416000,95
New Jersey’s 6th district,281862,331000,85
New Jersey’s 7th district,412927,431000,96
New Jersey’s 8th district,176246,262000,67
New Jersey’s 9th district,270279,316000,86
New Jersey’s 10th district,241795,313000,77
New Jersey’s 11th district,418528,442000,95
New Jersey’s 12th district,302762,359000,84
New Mexico’s 1st district,319125,328000,97
New Mexico’s 2nd district,262138,272000,97
New Mexico’s 3rd district,301051,319000,94
New York’s 1st district,287591,374000,77
New York’s 2nd district,273585,348000,79
New York’s 3rd district,279697,380000,74
New York’s 4th district,292464,371000,79
New York’s 5th district,182563,270000,68
New York’s 6th district,169455,228000,74
New York’s 7th district,171880,225000,76
New York’s 8th district,212013,281000,75
New York’s 9th district,209692,280000,75
New York’s 10th district,175271,289000,61
New York’s 11th district,235606,276000,85
New York’s 12th district,194520,338000,58
New York’s 13th district,199123,278000,72
New York’s 14th district,153374,215000,71
New York’s 15th district,154669,209000,74
New York’s 16th district,195338,309000,63
New York’s 17th district,251654,350000,72
New York’s 18th district,270310,342000,79
New York’s 19th district,293292,355000,83
New York’s 20th district,286634,358000,80
New York’s 21st district,259193,311000,83
New York’s 22nd district,256986,322000,80
New York’s 23rd district,268047,322000,83
New York’s 24th district,308044,343000,90
New York’s 25th district,251039,363000,69
New York’s 26th district,256102,335000,76
New York’s 27th district,319833,385000,83
North Carolina’s 1st district,346102,444000,78
North Carolina’s 2nd district,493825,497000,99
North Carolina’s 3rd district,358755,411000,87
North Carolina’s 4th district,489685,516000,95
North Carolina’s 5th district,381850,448000,85
North Carolina’s 6th district,402223,449000,90
North Carolina’s 7th district,430282,448000,96
North Carolina’s 8th district,378575,418000,91
North Carolina’s 9th district,400286,434000,92
North Carolina’s 10th district,408834,444000,92
North Carolina’s 11th district,447428,455000,99
North Carolina’s 12th district,340917,428000,80
North Carolina’s 13th district,314114,455000,69
North Dakota at large,355675,395000,90
Ohio’s 1st district,372797,416000,90
Ohio’s 2nd district,357492,405000,88
Ohio’s 3rd district,307806,359000,86
Ohio’s 4th district,340383,370000,92
Ohio’s 5th district,369958,410000,90
Ohio’s 6th district,327777,365000,90
Ohio’s 7th district,342478,375000,91
Ohio’s 8th district,349801,391000,89
Ohio’s 9th district,292489,344000,85
Ohio’s 10th district,356332,401000,89
Ohio’s 11th district,291265,369000,79
Ohio’s 12th district,427108,446000,96
Ohio’s 13th district,322968,365000,88
Ohio’s 14th district,389343,421000,92
Ohio’s 15th district,372814,406000,92
Ohio’s 16th district,389721,421000,93
Oklahoma’s 1st district,335471,335471,99
Oklahoma’s 2nd district,288527,288527,99
Oklahoma’s 3rd district,309178,309178,99
Oklahoma’s 4th district,314358,314358,99
Oklahoma’s 5th district,303849,303849,99
Oregon’s 1st district,456610,437000,99
Oregon’s 2nd district,451410,435000,99
Oregon’s 3rd district,468899,455000,99
Oregon’s 4th district,464501,447000,99
Oregon’s 5th district,449853,426000,99
Pennsylvania’s 1st district,435635,452000,96
Pennsylvania’s 2nd district,264491,330000,80
Pennsylvania’s 3rd district,362724,434000,84
Pennsylvania’s 4th district,442542,444000,99
Pennsylvania’s 5th district,392545,427000,92
Pennsylvania’s 6th district,398314,410000,97
Pennsylvania’s 7th district,371004,386000,96
Pennsylvania’s 8th district,344136,363000,95
Pennsylvania’s 9th district,346142,366000,95
Pennsylvania’s 10th district,388409,405000,96
Pennsylvania’s 11th district,380690,387000,98
Pennsylvania’s 12th district,339632,356000,95
Pennsylvania’s 13th district,363070,371000,98
Pennsylvania’s 14th district,368082,387000,95
Pennsylvania’s 15th district,346534,359000,97
Pennsylvania’s 16th district,352500,375000,94
Pennsylvania’s 17th district,432368,446000,97
Pennsylvania’s 18th district,382779,420000,91
Rhode Island’s 1st district,221561,242000,92
Rhode Island’s 2nd district,263462,268000,98
South Carolina’s 1st district,426669,427111,99
South Carolina’s 2nd district,363996,364215,99
South Carolina’s 3rd district,333256,333564,99
South Carolina’s 4th district,360239,360550,99
South Carolina’s 5th district,365985,365000,99
South Carolina’s 6th district,289381,289653,99
South Carolina’s 7th district,363856,364091,99
South Dakota at large,397732,397732,99
Tennessee’s 1st district,304651,308000,99
Tennessee’s 2nd district,352319,337000,99
Tennessee’s 3rd district,319850,321000,99
Tennessee’s 4th district,334438,321000,99
Tennessee’s 5th district,250001,277000,90
Tennessee’s 6th district,349052,346000,99
Tennessee’s 7th district,349952,339000,99
Tennessee’s 8th district,331251,345000,96
Tennessee’s 9th district,242082,258000,94
Texas’s 1st district,300744,339000,89
Texas’s 2nd district,351609,364000,97
Texas’s 3rd district,414436,418000,99
Texas’s 4th district,339935,361000,94
Texas’s 5th district,279622,301000,93
Texas’s 6th district,338899,360000,94
Texas’s 7th district,311335,337000,92
Texas’s 8th district,381863,381000,99
Texas’s 9th district,227885,247000,92
Texas’s 10th district,411174,413000,99
Texas’s 11th district,290841,321000,92
Texas’s 12th district,365313,365000,99
Texas’s 13th district,273317,309000,89
Texas’s 14th district,307553,340000,90
Texas’s 15th district,227832,238000,97
Texas’s 16th district,226528,249000,91
Texas’s 17th district,305838,325000,94
Texas’s 18th district,245602,266000,92
Texas’s 19th district,263935,295000,89
Texas’s 20th district,266719,280000,95
Texas’s 21st district,445349,471000,95
Texas’s 22nd district,406799,402000,99
Texas’s 23rd district,291164,304000,99
Texas’s 24th district,343239,362000,95
Texas’s 25th district,391222,411000,95
Texas’s 26th district,430821,412000,99
Texas’s 27th district,272411,303000,90
Texas’s 28th district,234038,244000,96
Texas’s 29th district,155515,173000,90
Texas’s 30th district,264464,285000,93
Texas’s 31st district,394303,377000,99
Texas’s 32nd district,343490,365000,94
Texas’s 33rd district,157205,168000,94
Texas’s 34th district,200198,222000,90
Texas’s 35th district,266925,259000,99
Texas’s 36th district,301079,329000,92
Utah’s 1st district,337573,331000,99
Utah’s 2nd district,351529,335000,99
Utah’s 3rd district,348987,343000,99
Utah’s 4th district,372123,330000,99
Vermont at large,354978,354837,99
Virginia’s 1st district,447633,463000,97
Virginia’s 2nd district,358554,382000,94
Virginia’s 3rd district,340625,379000,90
Virginia’s 4th district,395321,425000,93
Virginia’s 5th district,401868,435000,92
Virginia’s 6th district,381449,405000,98
Virginia’s 7th district,457674,467000,98
Virginia’s 8th district,396819,431000,92
Virginia’s 9th district,271851,317000,86
Virginia’s 10th district,474990,481000,99
Virginia’s 11th district,392113,418000,94
Washington’s 1st district,423319,398000,99
Washington’s 2nd district,399604,379000,99
Washington’s 3rd district,415678,360000,99
Washington’s 4th district,302232,277000,99
Washington’s 5th district,397006,371000,99
Washington’s 6th district,414574,380000,99
Washington’s 7th district,464249,474000,98
Washington’s 8th district,409091,373000,99
Washington’s 9th district,347517,332000,99
Washington’s 10th district,288127,337000,85
West Virginia’s 1st district,261203,269000,97
West Virginia’s 2nd district,272994,276000,99
West Virginia’s 3rd district,226203,241000,94
Wisconsin’s 1st district,370974,431000,86
Wisconsin’s 2nd district,456789,500000,91
Wisconsin’s 3rd district,389365,436000,89
Wisconsin’s 4th district,311333,374000,83
Wisconsin’s 5th district,445702,484000,92
Wisconsin’s 6th district,399719,443000,90
Wisconsin’s 7th district,414815,448000,93
Wisconsin’s 8th district,371276,448000,83
Wyoming at large,270367,270367,99
Alabama’s 1st district,300762,340000,88
Alabama’s 2nd district,302207,320000,94
Alabama’s 3rd district,317782,324000,98
Alabama’s 4th district,297398,326000,91
Alabama’s 5th district,122516,310000,40
Alabama’s 6th district,281267,334000,84
Alabama’s 7th district,208711,294000,71
Alaska at large,330627,367000,99
Arizona’s 1st district,362275,354000,99
Arizona’s 2nd district,380920,392000,97
Arizona’s 3rd district,269837,255000,99
Arizona’s 4th district,394158,365000,99
Arizona’s 5th district,445585,406000,99
Arizona’s 6th district,417427,420000,99
Arizona’s 7th district,215678,201000,99
Arizona’s 8th district,422449,406000,99
Arizona’s 9th district,352274,347000,99
Arkansas’s 1st district,237088,235000,99
Arkansas’s 2nd district,327625,344000,95
Arkansas’s 3rd district,333933,328000,99
Arkansas’s 4th district,278777,304000,93
California’s 10th district,282358,276000,99
California’s 11th district,363987,357000,99
California’s 12th district,360628,381000,95
California’s 13th district,362128,381000,95
California’s 14th district,347624,340000,99
California’s 15th district,340875,325000,99
California’s 16th district,212968,194000,99
California’s 17th district,286710,284000,99
California’s 18th district,332450,382000,87
California’s 19th district,296694,294000,99
California’s 1st district,347542,358000,97
California’s 20th district,302325,293000,99
California’s 22nd district,311481,274000,99
California’s 23rd district,281543,280000,99
California’s 24th district,353762,356000,99
California’s 26th district,342341,334000,99
California’s 27th district,313170,302000,99
California’s 28th district,331044,330000,99
California’s 29th district,207449,208000,99
California’s 2nd district,355263,394000,90
California’s 30th district,340708,346000,98
California’s 31st district,273487,261000,99
California’s 32nd district,255855,251000,99
California’s 33rd district,375410,404000,93
California’s 34th district,201805,196000,99
California’s 35th district,233587,215000,99
California’s 36th district,250021,271000,92
California’s 37th district,292270,315000,93
California’s 38th district,252356,264000,96
California’s 3rd district,285192,299000,95
California’s 40th district,182975,188000,97
California’s 41st district,223008,236000,94
California’s 42nd district,309446,306000,99
California’s 43rd district,273840,267000,99
California’s 44th district,202595,210000,96
California’s 45th district,405977,372000,99
California’s 46th district,222221,206000,99
California’s 47th district,305553,295000,99
California’s 48th district,390474,362000,99
California’s 49th district,382711,362000,99
California’s 4th district,423506,403000,99
California’s 50th district,352759,334000,99
California’s 51st district,232590,235000,99
California’s 52nd district,394991,376000,99
California’s 53rd district,333287,354000,94
California’s 5th district,338196,348000,97
California’s 6th district,276134,278000,99
California’s 7th district,355226,347000,99
California’s 8th district,270438,266000,99
California’s 9th district,258657,272000,95
Colorado’s 1st district,450292,475000,95
Colorado’s 2nd district,515644,557000,93
Colorado’s 3rd district,429018,449000,96
Colorado’s 4th district,475089,475000,99
Colorado’s 5th district,431985,439000,98
Colorado’s 6th district,438562,449000,98
Colorado’s 7th district,423690,442000,96
Connecticut’s 1st district,351036,369000,95
Connecticut’s 2nd district,367245,382000,96
Connecticut’s 3rd district,387271,361000,99
Connecticut’s 4th district,361891,368000,98
Connecticut’s 5th district,349598,362000,97
United States’s 0th district,147699246,157558031,94
California’s 21st district,158997,154000,99
California’s 25th district,333130,315000,99
California’s 39th district,335788,314000,99
